,CSV Nome,ESTADOS,UF,Mês,2017,2018,2019,2020,2021,2022
1,CIDEEST,Alagoas,AL,1," 4.492.196,43 "," 4.485.114,67 "," 2.295.681,62 "," 2.141.474,89 "," 966.410,06 "," 2.230.921,30 "
28,CIDEMUN,Alagoas,AL,1," 1.497.398,81 "," 1.495.038,22 "," 765.227,21 "," 713.824,96 "," 322.136,69 "," 743.640,43 "
55,FEXEST,Alagoas,AL,1,0,0,0,0,0,0
82,FEXMUN,Alagoas,AL,1,0,0,0,0,0,0
109,FPE,Alagoas,AL,1," 242.256.259,13 "," 256.938.067,84 "," 316.145.617,39 "," 284.004.528,95 "," 343.522.250,88 "," 425.107.461,45 "
136,FPM,Alagoas,AL,1," 145.580.619,98 "," 146.912.148,63 "," 177.950.228,08 "," 162.175.213,18 "," 195.589.605,86 "," 240.575.074,63 "
190,IOFEST,Alagoas,AL,1,0,0,0,0,0,0
217,IOFMUN,Alagoas,AL,1,0,0,0,0,0,0
244,IPI-EXP,Alagoas,AL,1," 735.462,92 "," 882.109,28 "," 123.841,57 "," 550.050,12 "," 180.894,47 "," 182.233,85 "
271,ITR,Alagoas,AL,1," 104.261,48 "," 98.906,81 "," 71.002,75 "," 150.106,54 "," 99.519,16 "," 224.850,62 "
298,LC87EST,Alagoas,AL,1," 819.214,51 "," 802.410,11 ",0,0,0,0
325,LC87MUN,Alagoas,AL,1," 273.071,92 "," 267.470,41 ",0,0,0,0
352,LC176EST,Alagoas,AL,1,,,,0,0," 1.131.425,01 "
379,LC176MUN,Alagoas,AL,1,,,,0," 2.249.934,95 "," 372.882,97 "
406,TCP,Alagoas,AL,1," 80.131,50 "," 86.167,54 ",,,,
433,CIDEEST,Alagoas,AL,2,0,0,0,0,0,0
460,CIDEMUN,Alagoas,AL,2,0,0,0,0,0,0
487,FEXEST,Alagoas,AL,2,0,0,0,0,0,0
514,FEXMUN,Alagoas,AL,2,0,0,0,0,0,0
541,FPE,Alagoas,AL,2," 312.480.032,68 "," 340.389.091,68 "," 346.215.688,45 "," 421.131.607,30 "," 465.851.986,17 "," 608.579.925,82 "
568,FPM,Alagoas,AL,2," 186.630.437,50 "," 192.060.123,60 "," 195.467.671,03 "," 234.335.942,83 "," 256.368.380,59 "," 335.822.517,17 "
622,IOFEST,Alagoas,AL,2,0,0,0,0,0,0
649,IOFMUN,Alagoas,AL,2,0,0,0,0,0,
676,IPI-EXP,Alagoas,AL,2," 808.715,59 "," 899.884,35 "," 131.093,51 "," 595.013,54 "," 147.971,91 "," 162.946,54 "
703,ITR,Alagoas,AL,2," 37.216,12 "," 142.561,31 "," 90.404,40 "," 33.806,06 "," 24.657,12 "," 64.026,89 "
730,LC87EST,Alagoas,AL,2," 819.214,51 "," 802.410,11 ",0,0,0,0
757,LC87MUN,Alagoas,AL,2," 273.071,92 "," 267.470,41 ",0,0,0,0
784,LC176EST,Alagoas,AL,2,,,,0," 2.749.800,12 "," 1.131.425,01 "
