,CSV Nome,ESTADOS,UF,Mês,2017,2018,2019,2020,2021,2022
0,CIDEEST,Acre,AC,1," 2.481.249,55 "," 2.428.106,62 "," 1.242.139,32 "," 1.254.445,63 "," 562.696,28 "," 1.277.097,56 "
1,CIDEEST,Alagoas,AL,1," 4.492.196,43 "," 4.485.114,67 "," 2.295.681,62 "," 2.141.474,89 "," 966.410,06 "," 2.230.921,30 "
2,CIDEEST,Amazonas,AM,1," 4.899.154,48 "," 4.649.287,35 "," 2.413.346,74 "," 2.333.314,77 "," 1.061.296,96 "," 2.366.035,21 "
3,CIDEEST,Amapá,AP,1," 2.044.051,14 "," 1.908.846,80 "," 975.994,18 "," 928.546,99 "," 419.995,88 "," 961.081,10 "
4,CIDEEST,Bahia,BA,1," 21.758.634,13 "," 20.824.688,04 "," 10.535.876,62 "," 9.938.697,40 "," 4.407.319,02 "," 10.139.580,14 "
5,CIDEEST,Ceará,CE,1," 11.913.335,67 "," 11.651.561,16 "," 6.021.643,31 "," 5.806.545,96 "," 2.620.950,70 "," 5.938.075,72 "
6,CIDEEST,Distrito Federal,DF,1," 6.251.445,52 "," 6.082.681,76 "," 3.124.397,65 "," 2.947.739,69 "," 1.305.046,43 "," 2.757.532,39 "
7,CIDEEST,Espírito Santo,ES,1," 7.047.318,64 "," 6.682.868,67 "," 3.478.179,35 "," 3.341.094,61 "," 1.455.695,02 "," 3.345.818,30 "
8,CIDEEST,Goiás,GO,1," 16.477.824,22 "," 16.675.176,98 "," 8.705.426,79 "," 8.027.874,43 "," 3.599.932,41 "," 8.256.150,56 "
9,CIDEEST,Maranhão,MA,1," 9.913.587,85 "," 9.442.708,69 "," 4.872.650,58 "," 4.647.128,64 "," 2.283.636,58 "," 5.258.284,96 "
10,CIDEEST,Minas Gerais,MG,1," 35.952.210,05 "," 35.031.353,33 "," 17.795.988,49 "," 16.972.702,89 "," 7.568.543,96 "," 16.910.428,13 "
